nu_cm1,R_clean,R_noisy
400.00000000,0.25276054,0.25276054
401.00000000,0.25283646,0.25283646
402.00000000,0.25284960,0.25284960
403.00000000,0.25279994,0.25279994
404.00000000,0.25268753,0.25268753
405.00000000,0.25251248,0.25251248
406.00000000,0.25227497,0.25227497
407.00000000,0.25197522,0.25197522
408.00000000,0.25161354,0.25161354
409.00000000,0.25119026,0.25119026
410.00000000,0.25070581,0.25070581
411.00000000,0.25016066,0.25016066
412.00000000,0.24955535,0.24955535
413.00000000,0.24889047,0.24889047
414.00000000,0.24816666,0.24816666
415.00000000,0.24738463,0.24738463
416.00000000,0.24654516,0.24654516
417.00000000,0.24564906,0.24564906
418.00000000,0.24469721,0.24469721
419.00000000,0.24369054,0.24369054
420.00000000,0.24263003,0.24263003
421.00000000,0.24151673,0.24151673
422.00000000,0.24035172,0.24035172
423.00000000,0.23913614,0.23913614
424.00000000,0.23787119,0.23787119
425.00000000,0.23655809,0.23655809
426.00000000,0.23519814,0.23519814
427.00000000,0.23379266,0.23379266
428.00000000,0.23234304,0.23234304
429.00000000,0.23085068,0.23085068
430.00000000,0.22931705,0.22931705
431.00000000,0.22774365,0.22774365
432.00000000,0.22613203,0.22613203
433.00000000,0.22448374,0.22448374
434.00000000,0.22280042,0.22280042
435.00000000,0.22108371,0.22108371
436.00000000,0.21933528,0.21933528
437.00000000,0.21755684,0.21755684
438.00000000,0.21575015,0.21575015
439.00000000,0.21391696,0.21391696
440.00000000,0.21205906,0.21205906
441.00000000,0.21017829,0.21017829
442.00000000,0.20827647,0.20827647
443.00000000,0.20635547,0.20635547
444.00000000,0.20441717,0.20441717
445.00000000,0.20246346,0.20246346
446.00000000,0.20049626,0.20049626
447.00000000,0.19851749,0.19851749
448.00000000,0.19652909,0.19652909
449.00000000,0.19453300,0.19453300
450.00000000,0.19253118,0.19253118
451.00000000,0.19052558,0.19052558
452.00000000,0.18851816,0.18851816
453.00000000,0.18651090,0.18651090
454.00000000,0.18450576,0.18450576
455.00000000,0.18250469,0.18250469
456.00000000,0.18050966,0.18050966
