nu_cm1,R_obs,R_model_best,weight
399.67470000,0.00000000,0.25059464,1.00000000
400.15690000,0.36336681,0.25061030,1.00000000
400.63900000,0.35752088,0.25062971,1.00000000
401.12110000,0.35171912,0.25064961,1.00000000
401.60320000,0.34669149,0.25066998,1.00000000
402.08530000,0.34163955,0.25069085,1.00000000
402.56740000,0.33664415,0.25071221,1.00000000
403.04960000,0.33186897,0.25073408,1.00000000
403.53170000,0.32758161,0.25075644,1.00000000
404.01380000,0.32345778,0.25077932,1.00000000
404.49590000,0.31961621,0.25080271,1.00000000
404.97800000,0.31633959,0.25082662,1.00000000
405.46010000,0.31371904,0.25085105,1.00000000
405.94230000,0.31177606,0.25087602,1.00000000
406.42440000,0.31021143,0.25090152,1.00000000
406.90650000,0.30921060,0.25092756,1.00000000
407.38860000,0.30863202,0.25095415,1.00000000
407.87070000,0.30848388,0.25098128,1.00000000
408.35280000,0.30837838,0.25100898,1.00000000
408.83500000,0.30804094,0.25103723,1.00000000
409.31710000,0.30796474,0.25106605,1.00000000
409.79920000,0.30756984,0.25109544,1.00000000
410.28130000,0.30658509,0.25112541,1.00000000
410.76340000,0.30551575,0.25115595,1.00000000
411.24550000,0.30408723,0.25118709,1.00000000
411.72770000,0.30209164,0.25121881,1.00000000
412.20980000,0.29960942,0.25125113,1.00000000
412.69190000,0.29695206,0.25128405,1.00000000
413.17400000,0.29398791,0.25131757,1.00000000
413.65610000,0.29104396,0.25135170,1.00000000
414.13820000,0.28764498,0.25138645,1.00000000
414.62040000,0.28474329,0.25142182,1.00000000
415.10250000,0.28189566,0.25145781,1.00000000
415.58460000,0.27909351,0.25149443,1.00000000
416.06670000,0.27623435,0.25153168,1.00000000
416.54880000,0.27369893,0.25156956,1.00000000
417.03090000,0.27171107,0.25160810,1.00000000
417.51310000,0.26974438,0.25164730,1.00000000
417.99520000,0.26813785,0.25168715,1.00000000
418.47730000,0.26732675,0.25172768,1.00000000
418.95940000,0.26639144,0.25176889,1.00000000
419.44150000,0.26571571,0.25181078,1.00000000
419.92360000,0.26569086,0.25185335,1.00000000
420.40580000,0.26508353,0.25189664,1.00000000
420.88790000,0.26449248,0.25194061,1.00000000
421.37000000,0.26419165,0.25198529,1.00000000
421.85210000,0.26346350,0.25203069,1.00000000
422.33420000,0.26294148,0.25207681,1.00000000
422.81630000,0.26185365,0.25212365,1.00000000
423.29850000,0.26126926,0.25217124,1.00000000
423.78060000,0.26022886,0.25221955,1.00000000
424.26270000,0.25912628,0.25226861,1.00000000
424.74480000,0.25810353,0.25231842,1.00000000
425.22690000,0.25694375,0.25236899,1.00000000
425.70900000,0.25559931,0.25242033,1.00000000
426.19120000,0.25440247,0.25247244,1.00000000
426.67330000,0.25329375,0.25252533,1.00000000
427.15540000,0.25216604,0.25257899,1.00000000
427.63750000,0.25131357,0.25263345,1.00000000
428.11960000,0.25024216,0.25268870,1.00000000
428.60170000,0.24959367,0.25274476,1.00000000
429.08390000,0.24891512,0.25280163,1.00000000
429.56600000,0.24831756,0.25285931,1.00000000
430.04810000,0.24795120,0.25291782,1.00000000
430.53020000,0.24727691,0.25297715,1.00000000
431.01230000,0.24643192,0.25303732,1.00000000
431.49440000,0.24550992,0.25309833,1.00000000
431.97660000,0.24435628,0.25316020,1.00000000
432.45870000,0.24309623,0.25322292,1.00000000
432.94080000,0.24170204,0.25328649,1.00000000
433.42290000,0.24010926,0.25335094,1.00000000
433.90500000,0.23861149,0.25341626,1.00000000
434.38710000,0.23702205,0.25348246,1.00000000
434.86930000,0.23598987,0.25354957,1.00000000
435.35140000,0.23493583,0.25361756,1.00000000
435.83350000,0.23408315,0.25368645,1.00000000
436.31560000,0.23356683,0.25375626,1.00000000
436.79770000,0.23394234,0.25382698,1.00000000
437.27980000,0.23395168,0.25389863,1.00000000
437.76200000,0.23438769,0.25397123,1.00000000
438.24410000,0.23483163,0.25404476,1.00000000
438.72620000,0.23537307,0.25411924,1.00000000
439.20830000,0.23586371,0.25419467,1.00000000
439.69040000,0.23643439,0.25427106,1.00000000
440.17250000,0.23689161,0.25434842,1.00000000
440.65470000,0.23740196,0.25442678,1.00000000
441.13680000,0.23800865,0.25450611,1.00000000
