nu_cm1,R_obs,R_model_best,weight
2000.30200000,0.16699403,0.17772866,1.00000000
2000.78400000,0.16717432,0.17773050,1.00000000
2001.26600000,0.16743235,0.17773234,1.00000000
2001.74900000,0.16756577,0.17773418,1.00000000
2002.23000000,0.16774064,0.17773602,1.00000000
2002.71300000,0.16792901,0.17773787,1.00000000
2003.19500000,0.16802259,0.17773972,1.00000000
2003.67700000,0.16796315,0.17774156,1.00000000
2004.15900000,0.16827971,0.17774341,1.00000000
2004.64100000,0.16822371,0.17774526,1.00000000
2005.12300000,0.16847242,0.17774711,1.00000000
2005.60500000,0.16850380,0.17774897,1.00000000
2006.08700000,0.16855330,0.17775082,1.00000000
2006.57000000,0.16859135,0.17775269,1.00000000
2007.05200000,0.16883596,0.17775454,1.00000000
2007.53400000,0.16882921,0.17775640,1.00000000
2008.01600000,0.16907109,0.17775827,1.00000000
2008.49800000,0.16918643,0.17776013,1.00000000
2008.98000000,0.16930620,0.17776199,1.00000000
2009.46200000,0.16933162,0.17776386,1.00000000
2009.94400000,0.16936166,0.17776573,1.00000000
2010.42700000,0.16955965,0.17776760,1.00000000
2010.90900000,0.16975713,0.17776948,1.00000000
2011.39100000,0.16979738,0.17777135,1.00000000
2011.87300000,0.16991750,0.17777322,1.00000000
2012.35500000,0.17000761,0.17777510,1.00000000
2012.83700000,0.17005227,0.17777698,1.00000000
2013.31900000,0.17005996,0.17777886,1.00000000
2013.80100000,0.17035082,0.17778074,1.00000000
2014.28300000,0.17041054,0.17778262,1.00000000
2014.76600000,0.17055810,0.17778451,1.00000000
2015.24800000,0.17053697,0.17778640,1.00000000
2015.73000000,0.17067311,0.17778828,1.00000000
2016.21200000,0.17093524,0.17779017,1.00000000
2016.69400000,0.17092750,0.17779207,1.00000000
2017.17600000,0.17117166,0.17779396,1.00000000
2017.65800000,0.17132921,0.17779585,1.00000000
2018.14000000,0.17129541,0.17779775,1.00000000
2018.62300000,0.17140570,0.17779965,1.00000000
2019.10500000,0.17163750,0.17780155,1.00000000
2019.58700000,0.17165770,0.17780345,1.00000000
2020.06900000,0.17188668,0.17780535,1.00000000
2020.55100000,0.17194090,0.17780725,1.00000000
2021.03300000,0.17197314,0.17780916,1.00000000
2021.51500000,0.17219127,0.17781107,1.00000000
2021.99700000,0.17242891,0.17781297,1.00000000
2022.47900000,0.17245117,0.17781489,1.00000000
2022.96200000,0.17249313,0.17781680,1.00000000
2023.44400000,0.17274640,0.17781871,1.00000000
2023.92600000,0.17261120,0.17782063,1.00000000
2024.40800000,0.17297009,0.17782255,1.00000000
2024.89000000,0.17288677,0.17782446,1.00000000
2025.37200000,0.17298165,0.17782638,1.00000000
2025.85400000,0.17316912,0.17782830,1.00000000
2026.33600000,0.17326001,0.17783023,1.00000000
2026.81900000,0.17331870,0.17783215,1.00000000
2027.30100000,0.17342687,0.17783408,1.00000000
2027.78300000,0.17357538,0.17783601,1.00000000
2028.26500000,0.17368671,0.17783794,1.00000000
2028.74700000,0.17395755,0.17783987,1.00000000
2029.22900000,0.17365320,0.17784180,1.00000000
2029.71100000,0.17397607,0.17784373,1.00000000
2030.19300000,0.17402617,0.17784567,1.00000000
2030.67600000,0.17427430,0.17784761,1.00000000
