nu_cm1,R_obs,R_model_best,weight
2000.30200000,0.30900732,0.29683868,1.00000000
2000.78400000,0.30858592,0.29694307,1.00000000
2001.26600000,0.30851006,0.29704762,1.00000000
2001.74900000,0.30813299,0.29715255,1.00000000
2002.23000000,0.30812118,0.29725720,1.00000000
2002.71300000,0.30760738,0.29736242,1.00000000
2003.19500000,0.30762439,0.29746757,1.00000000
2003.67700000,0.30704050,0.29757286,1.00000000
2004.15900000,0.30693787,0.29767828,1.00000000
2004.64100000,0.30650464,0.29778382,1.00000000
2005.12300000,0.30639451,0.29788948,1.00000000
2005.60500000,0.30604976,0.29799525,1.00000000
2006.08700000,0.30582988,0.29810114,1.00000000
2006.57000000,0.30553172,0.29820734,1.00000000
2007.05200000,0.30540089,0.29831343,1.00000000
2007.53400000,0.30489350,0.29841960,1.00000000
2008.01600000,0.30470057,0.29852587,1.00000000
2008.49800000,0.30426546,0.29863221,1.00000000
2008.98000000,0.30419010,0.29873863,1.00000000
2009.46200000,0.30365094,0.29884512,1.00000000
2009.94400000,0.30349932,0.29895168,1.00000000
2010.42700000,0.30332285,0.29905852,1.00000000
2010.90900000,0.30316193,0.29916519,1.00000000
2011.39100000,0.30262594,0.29927191,1.00000000
2011.87300000,0.30257530,0.29937867,1.00000000
2012.35500000,0.30231985,0.29948547,1.00000000
2012.83700000,0.30202914,0.29959231,1.00000000
2013.31900000,0.30176273,0.29969917,1.00000000
2013.80100000,0.30135432,0.29980605,1.00000000
2014.28300000,0.30100655,0.29991294,1.00000000
2014.76600000,0.30088913,0.30002007,1.00000000
2015.24800000,0.30047732,0.30012699,1.00000000
2015.73000000,0.30026019,0.30023390,1.00000000
2016.21200000,0.29985157,0.30034080,1.00000000
2016.69400000,0.29936453,0.30044770,1.00000000
2017.17600000,0.29930764,0.30055458,1.00000000
2017.65800000,0.29875539,0.30066143,1.00000000
2018.14000000,0.29857944,0.30076826,1.00000000
2018.62300000,0.29834455,0.30087528,1.00000000
2019.10500000,0.29780531,0.30098203,1.00000000
2019.58700000,0.29776105,0.30108874,1.00000000
2020.06900000,0.29717318,0.30119541,1.00000000
2020.55100000,0.29711135,0.30130201,1.00000000
2021.03300000,0.29677211,0.30140856,1.00000000
2021.51500000,0.29649230,0.30151504,1.00000000
2021.99700000,0.29637075,0.30162145,1.00000000
2022.47900000,0.29604709,0.30172778,1.00000000
2022.96200000,0.29541035,0.30183425,1.00000000
2023.44400000,0.29528039,0.30194041,1.00000000
2023.92600000,0.29506560,0.30204648,1.00000000
2024.40800000,0.29471155,0.30215245,1.00000000
2024.89000000,0.29445274,0.30225832,1.00000000
2025.37200000,0.29418673,0.30236407,1.00000000
2025.85400000,0.29425966,0.30246971,1.00000000
2026.33600000,0.29365376,0.30257524,1.00000000
2026.81900000,0.29352298,0.30268085,1.00000000
2027.30100000,0.29309066,0.30278611,1.00000000
2027.78300000,0.29275125,0.30289124,1.00000000
2028.26500000,0.29251016,0.30299623,1.00000000
2028.74700000,0.29206220,0.30310107,1.00000000
2029.22900000,0.29178108,0.30320575,1.00000000
2029.71100000,0.29129939,0.30331028,1.00000000
2030.19300000,0.29104779,0.30341465,1.00000000
2030.67600000,0.29085288,0.30351906,1.00000000
2031.15700000,0.29056428,0.30362286,1.00000000
2031.64000000,0.29026321,0.30372692,1.00000000
2032.12200000,0.29002585,0.30383058,1.00000000
2032.60400000,0.28986719,0.30393405,1.00000000
2033.08600000,0.28961011,0.30403732,1.00000000
2033.56800000,0.28917144,0.30414040,1.00000000
2034.05000000,0.28905680,0.30424326,1.00000000
2034.53200000,0.28840048,0.30434592,1.00000000
2035.01400000,0.28809921,0.30444836,1.00000000
2035.49700000,0.28794879,0.30455079,1.00000000
2035.97900000,0.28734703,0.30465278,1.00000000
2036.46100000,0.28716043,0.30475455,1.00000000
2036.94300000,0.28694273,0.30485607,1.00000000
2037.42500000,0.28665026,0.30495735,1.00000000
2037.90700000,0.28635629,0.30505838,1.00000000
2038.38900000,0.28588846,0.30515916,1.00000000
2038.87100000,0.28557355,0.30525969,1.00000000
2039.35400000,0.28511701,0.30536016,1.00000000
2039.83600000,0.28496782,0.30546015,1.00000000
2040.31800000,0.28464769,0.30555987,1.00000000
2040.80000000,0.28435574,0.30565931,1.00000000
2041.28200000,0.28401356,0.30575847,1.00000000
2041.76400000,0.28377669,0.30585733,1.00000000
2042.24600000,0.28347244,0.30595591,1.00000000
2042.72800000,0.28324497,0.30605419,1.00000000
2043.21000000,0.28314748,0.30615216,1.00000000
2043.69300000,0.28251383,0.30625003,1.00000000
2044.17500000,0.28229402,0.30634738,1.00000000
2044.65700000,0.28201184,0.30644442,1.00000000
2045.13900000,0.28187449,0.30654113,1.00000000
2045.62100000,0.28132339,0.30663751,1.00000000
2046.10300000,0.28113187,0.30673356,1.00000000
2046.58500000,0.28082493,0.30682927,1.00000000
2047.06700000,0.28051473,0.30692464,1.00000000
2047.55000000,0.27998376,0.30701985,1.00000000
2048.03200000,0.27984382,0.30711452,1.00000000
2048.51400000,0.27935481,0.30720883,1.00000000
2048.99600000,0.27908086,0.30730277,1.00000000
2049.47800000,0.27904042,0.30739635,1.00000000
2049.96000000,0.27851833,0.30748956,1.00000000
2050.44200000,0.27814384,0.30758239,1.00000000
2050.92400000,0.27805886,0.30767484,1.00000000
