nu_cm1,R_clean,R_noisy
400.00000000,0.25262522,0.25262522
401.00000000,0.25277538,0.25277538
402.00000000,0.25286324,0.25286324
403.00000000,0.25288872,0.25288872
404.00000000,0.25285180,0.25285180
405.00000000,0.25275252,0.25275252
406.00000000,0.25259097,0.25259097
407.00000000,0.25236730,0.25236730
408.00000000,0.25208175,0.25208175
409.00000000,0.25173457,0.25173457
410.00000000,0.25132612,0.25132612
411.00000000,0.25085678,0.25085678
412.00000000,0.25032702,0.25032702
413.00000000,0.24973735,0.24973735
414.00000000,0.24908835,0.24908835
415.00000000,0.24838064,0.24838064
416.00000000,0.24761491,0.24761491
417.00000000,0.24679191,0.24679191
418.00000000,0.24591244,0.24591244
419.00000000,0.24497735,0.24497735
420.00000000,0.24398756,0.24398756
421.00000000,0.24294402,0.24294402
422.00000000,0.24184776,0.24184776
423.00000000,0.24069983,0.24069983
424.00000000,0.23950136,0.23950136
425.00000000,0.23825351,0.23825351
426.00000000,0.23695749,0.23695749
427.00000000,0.23561457,0.23561457
428.00000000,0.23422604,0.23422604
429.00000000,0.23279327,0.23279327
430.00000000,0.23131764,0.23131764
431.00000000,0.22980060,0.22980060
432.00000000,0.22824361,0.22824361
433.00000000,0.22664819,0.22664819
434.00000000,0.22501589,0.22501589
435.00000000,0.22334830,0.22334830
436.00000000,0.22164705,0.22164705
437.00000000,0.21991378,0.21991378
438.00000000,0.21815018,0.21815018
439.00000000,0.21635798,0.21635798
440.00000000,0.21453890,0.21453890
441.00000000,0.21269472,0.21269472
442.00000000,0.21082724,0.21082724
443.00000000,0.20893827,0.20893827
444.00000000,0.20702965,0.20702965
445.00000000,0.20510323,0.20510323
446.00000000,0.20316089,0.20316089
447.00000000,0.20120452,0.20120452
448.00000000,0.19923603,0.19923603
449.00000000,0.19725731,0.19725731
450.00000000,0.19527031,0.19527031
451.00000000,0.19327695,0.19327695
452.00000000,0.19127917,0.19127917
453.00000000,0.18927892,0.18927892
454.00000000,0.18727813,0.18727813
455.00000000,0.18527877,0.18527877
456.00000000,0.18328276,0.18328276
457.00000000,0.18129206,0.18129206
458.00000000,0.17930860,0.17930860
459.00000000,0.17733431,0.17733431
460.00000000,0.17537111,0.17537111
461.00000000,0.17342090,0.17342090
462.00000000,0.17148559,0.17148559
463.00000000,0.16956706,0.16956706
464.00000000,0.16766717,0.16766717
465.00000000,0.16578778,0.16578778
466.00000000,0.16393070,0.16393070
467.00000000,0.16209775,0.16209775
468.00000000,0.16029072,0.16029072
469.00000000,0.15851134,0.15851134
470.00000000,0.15676137,0.15676137
471.00000000,0.15504250,0.15504250
472.00000000,0.15335639,0.15335639
473.00000000,0.15170471,0.15170471
474.00000000,0.15008903,0.15008903
475.00000000,0.14851095,0.14851095
476.00000000,0.14697200,0.14697200
477.00000000,0.14547366,0.14547366
478.00000000,0.14401741,0.14401741
479.00000000,0.14260465,0.14260465
480.00000000,0.14123676,0.14123676
481.00000000,0.13991507,0.13991507
482.00000000,0.13864087,0.13864087
483.00000000,0.13741540,0.13741540
484.00000000,0.13623984,0.13623984
485.00000000,0.13511534,0.13511534
486.00000000,0.13404300,0.13404300
487.00000000,0.13302385,0.13302385
488.00000000,0.13205890,0.13205890
489.00000000,0.13114907,0.13114907
490.00000000,0.13029526,0.13029526
491.00000000,0.12949828,0.12949828
492.00000000,0.12875893,0.12875893
493.00000000,0.12807792,0.12807792
494.00000000,0.12745590,0.12745590
495.00000000,0.12689349,0.12689349
496.00000000,0.12639123,0.12639123
497.00000000,0.12594961,0.12594961
498.00000000,0.12556906,0.12556906
499.00000000,0.12524996,0.12524996
500.00000000,0.12499260,0.12499260
501.00000000,0.12479724,0.12479724
502.00000000,0.12466408,0.12466408
503.00000000,0.12459324,0.12459324
504.00000000,0.12458478,0.12458478
505.00000000,0.12463872,0.12463872
506.00000000,0.12475501,0.12475501
507.00000000,0.12493353,0.12493353
508.00000000,0.12517411,0.12517411
509.00000000,0.12547652,0.12547652
510.00000000,0.12584045,0.12584045
511.00000000,0.12626556,0.12626556
512.00000000,0.12675143,0.12675143
513.00000000,0.12729760,0.12729760
514.00000000,0.12790352,0.12790352
515.00000000,0.12856861,0.12856861
516.00000000,0.12929223,0.12929223
517.00000000,0.13007366,0.13007366
518.00000000,0.13091215,0.13091215
519.00000000,0.13180689,0.13180689
520.00000000,0.13275700,0.13275700
521.00000000,0.13376155,0.13376155
522.00000000,0.13481958,0.13481958
523.00000000,0.13593005,0.13593005
524.00000000,0.13709189,0.13709189
525.00000000,0.13830395,0.13830395
526.00000000,0.13956507,0.13956507
527.00000000,0.14087402,0.14087402
528.00000000,0.14222952,0.14222952
529.00000000,0.14363025,0.14363025
530.00000000,0.14507486,0.14507486
531.00000000,0.14656193,0.14656193
532.00000000,0.14809003,0.14809003
533.00000000,0.14965766,0.14965766
534.00000000,0.15126330,0.15126330
535.00000000,0.15290538,0.15290538
536.00000000,0.15458232,0.15458232
537.00000000,0.15629248,0.15629248
538.00000000,0.15803419,0.15803419
539.00000000,0.15980577,0.15980577
540.00000000,0.16160548,0.16160548
541.00000000,0.16343159,0.16343159
542.00000000,0.16528230,0.16528230
543.00000000,0.16715583,0.16715583
544.00000000,0.16905034,0.16905034
545.00000000,0.17096401,0.17096401
546.00000000,0.17289496,0.17289496
547.00000000,0.17484131,0.17484131
548.00000000,0.17680118,0.17680118
549.00000000,0.17877266,0.17877266
550.00000000,0.18075383,0.18075383
551.00000000,0.18274276,0.18274276
552.00000000,0.18473751,0.18473751
553.00000000,0.18673616,0.18673616
554.00000000,0.18873675,0.18873675
555.00000000,0.19073734,0.19073734
556.00000000,0.19273598,0.19273598
557.00000000,0.19473073,0.19473073
558.00000000,0.19671965,0.19671965
559.00000000,0.19870080,0.19870080
560.00000000,0.20067226,0.20067226
561.00000000,0.20263210,0.20263210
562.00000000,0.20457843,0.20457843
563.00000000,0.20650934,0.20650934
564.00000000,0.20842297,0.20842297
565.00000000,0.21031745,0.21031745
