nu_cm1,R_obs,R_model_best,weight
2000.30200000,0.17078844,0.18983291,1.00000000
2000.78400000,0.17083881,0.18970602,1.00000000
2001.26600000,0.17086566,0.18957838,1.00000000
2001.74900000,0.17102099,0.18944977,1.00000000
2002.23000000,0.17113940,0.18932099,1.00000000
2002.71300000,0.17130780,0.18919099,1.00000000
2003.19500000,0.17138959,0.18906061,1.00000000
2003.67700000,0.17130138,0.18892959,1.00000000
2004.15900000,0.17132203,0.18879795,1.00000000
2004.64100000,0.17146686,0.18866572,1.00000000
2005.12300000,0.17180677,0.18853290,1.00000000
2005.60500000,0.17177337,0.18839954,1.00000000
2006.08700000,0.17180600,0.18826564,1.00000000
2006.57000000,0.17194348,0.18813094,1.00000000
2007.05200000,0.17190488,0.18799603,1.00000000
2007.53400000,0.17210737,0.18786065,1.00000000
2008.01600000,0.17216374,0.18772481,1.00000000
2008.49800000,0.17222373,0.18758855,1.00000000
2008.98000000,0.17237330,0.18745187,1.00000000
2009.46200000,0.17221895,0.18731480,1.00000000
2009.94400000,0.17267254,0.18717736,1.00000000
2010.42700000,0.17262805,0.18703929,1.00000000
2010.90900000,0.17283720,0.18690118,1.00000000
2011.39100000,0.17275046,0.18676276,1.00000000
2011.87300000,0.17299645,0.18662405,1.00000000
2012.35500000,0.17292204,0.18648509,1.00000000
2012.83700000,0.17288022,0.18634587,1.00000000
2013.31900000,0.17316967,0.18620644,1.00000000
2013.80100000,0.17330600,0.18606680,1.00000000
2014.28300000,0.17339932,0.18592698,1.00000000
2014.76600000,0.17343248,0.18578671,1.00000000
2015.24800000,0.17365829,0.18564660,1.00000000
2015.73000000,0.17374740,0.18550636,1.00000000
2016.21200000,0.17379529,0.18536603,1.00000000
2016.69400000,0.17385406,0.18522563,1.00000000
2017.17600000,0.17410405,0.18508516,1.00000000
2017.65800000,0.17411376,0.18494467,1.00000000
2018.14000000,0.17419294,0.18480416,1.00000000
2018.62300000,0.17458797,0.18466337,1.00000000
2019.10500000,0.17445740,0.18452289,1.00000000
2019.58700000,0.17453516,0.18438247,1.00000000
2020.06900000,0.17449752,0.18424211,1.00000000
2020.55100000,0.17478042,0.18410185,1.00000000
2021.03300000,0.17484947,0.18396170,1.00000000
2021.51500000,0.17505978,0.18382168,1.00000000
2021.99700000,0.17505137,0.18368181,1.00000000
2022.47900000,0.17526642,0.18354211,1.00000000
2022.96200000,0.17530767,0.18340232,1.00000000
2023.44400000,0.17534955,0.18326304,1.00000000
2023.92600000,0.17561916,0.18312398,1.00000000
2024.40800000,0.17567071,0.18298518,1.00000000
2024.89000000,0.17589495,0.18284666,1.00000000
2025.37200000,0.17596374,0.18270843,1.00000000
2025.85400000,0.17605285,0.18257052,1.00000000
2026.33600000,0.17612194,0.18243294,1.00000000
2026.81900000,0.17624073,0.18229543,1.00000000
2027.30100000,0.17643713,0.18215858,1.00000000
2027.78300000,0.17644930,0.18202213,1.00000000
2028.26500000,0.17641802,0.18188609,1.00000000
2028.74700000,0.17671204,0.18175048,1.00000000
2029.22900000,0.17662389,0.18161533,1.00000000
2029.71100000,0.17674439,0.18148065,1.00000000
2030.19300000,0.17703410,0.18134647,1.00000000
2030.67600000,0.17710077,0.18121252,1.00000000
2031.15700000,0.17703183,0.18107965,1.00000000
2031.64000000,0.17721493,0.18094678,1.00000000
2032.12200000,0.17725147,0.18081476,1.00000000
2032.60400000,0.17744327,0.18068332,1.00000000
2033.08600000,0.17749320,0.18055249,1.00000000
2033.56800000,0.17780238,0.18042229,1.00000000
2034.05000000,0.17784852,0.18029273,1.00000000
2034.53200000,0.17794589,0.18016383,1.00000000
2035.01400000,0.17809767,0.18003561,1.00000000
2035.49700000,0.17845135,0.17990782,1.00000000
2035.97900000,0.17835073,0.17978102,1.00000000
2036.46100000,0.17833200,0.17965496,1.00000000
2036.94300000,0.17871091,0.17952964,1.00000000
2037.42500000,0.17847766,0.17940510,1.00000000
2037.90700000,0.17873709,0.17928134,1.00000000
2038.38900000,0.17910429,0.17915839,1.00000000
2038.87100000,0.17896248,0.17903626,1.00000000
2039.35400000,0.17907967,0.17891471,1.00000000
2039.83600000,0.17939662,0.17879428,1.00000000
2040.31800000,0.17943912,0.17867472,1.00000000
2040.80000000,0.17956702,0.17855605,1.00000000
2041.28200000,0.17971071,0.17843829,1.00000000
2041.76400000,0.17985502,0.17832145,1.00000000
2042.24600000,0.17989938,0.17820555,1.00000000
2042.72800000,0.18022257,0.17809060,1.00000000
2043.21000000,0.18011877,0.17797663,1.00000000
2043.69300000,0.18038558,0.17786341,1.00000000
2044.17500000,0.18049824,0.17775143,1.00000000
2044.65700000,0.18061772,0.17764046,1.00000000
2045.13900000,0.18057650,0.17753053,1.00000000
2045.62100000,0.18078937,0.17742165,1.00000000
2046.10300000,0.18070683,0.17731383,1.00000000
2046.58500000,0.18094644,0.17720709,1.00000000
2047.06700000,0.18104016,0.17710144,1.00000000
