nu_cm1,R_obs,R_model_best,weight
2000.30200000,0.34729147,0.29618024,1.00000000
2000.78400000,0.34678359,0.29628322,1.00000000
2001.26600000,0.34665277,0.29638640,1.00000000
2001.74900000,0.34633465,0.29648998,1.00000000
2002.23000000,0.34624595,0.29659332,1.00000000
2002.71300000,0.34591462,0.29669727,1.00000000
2003.19500000,0.34564126,0.29680119,1.00000000
2003.67700000,0.34549941,0.29690527,1.00000000
2004.15900000,0.34522910,0.29700952,1.00000000
2004.64100000,0.34499737,0.29711392,1.00000000
2005.12300000,0.34479878,0.29721848,1.00000000
2005.60500000,0.34446809,0.29732319,1.00000000
2006.08700000,0.34429127,0.29742804,1.00000000
2006.57000000,0.34392331,0.29753325,1.00000000
2007.05200000,0.34365675,0.29763838,1.00000000
2007.53400000,0.34351662,0.29774363,1.00000000
2008.01600000,0.34323133,0.29784900,1.00000000
2008.49800000,0.34293094,0.29795449,1.00000000
2008.98000000,0.34255694,0.29806009,1.00000000
2009.46200000,0.34233952,0.29816580,1.00000000
2009.94400000,0.34201720,0.29827160,1.00000000
2010.42700000,0.34199543,0.29837772,1.00000000
2010.90900000,0.34162458,0.29848372,1.00000000
2011.39100000,0.34136782,0.29858979,1.00000000
2011.87300000,0.34116615,0.29869595,1.00000000
2012.35500000,0.34079167,0.29880217,1.00000000
2012.83700000,0.34065825,0.29890847,1.00000000
2013.31900000,0.34041321,0.29901483,1.00000000
2013.80100000,0.34004654,0.29912124,1.00000000
2014.28300000,0.33997014,0.29922771,1.00000000
2014.76600000,0.33956376,0.29933444,1.00000000
2015.24800000,0.33941588,0.29944100,1.00000000
2015.73000000,0.33881665,0.29954759,1.00000000
2016.21200000,0.33889872,0.29965421,1.00000000
2016.69400000,0.33857472,0.29976085,1.00000000
2017.17600000,0.33805934,0.29986751,1.00000000
2017.65800000,0.33801924,0.29997419,1.00000000
2018.14000000,0.33760067,0.30008087,1.00000000
2018.62300000,0.33725305,0.30018778,1.00000000
2019.10500000,0.33682048,0.30029447,1.00000000
2019.58700000,0.33647213,0.30040114,1.00000000
2020.06900000,0.33626533,0.30050781,1.00000000
2020.55100000,0.33615363,0.30061445,1.00000000
2021.03300000,0.33581946,0.30072107,1.00000000
2021.51500000,0.33555634,0.30082766,1.00000000
2021.99700000,0.33511188,0.30093421,1.00000000
2022.47900000,0.33499882,0.30104072,1.00000000
2022.96200000,0.33473490,0.30114741,1.00000000
2023.44400000,0.33426534,0.30125383,1.00000000
2023.92600000,0.33422754,0.30136018,1.00000000
2024.40800000,0.33381461,0.30146648,1.00000000
2024.89000000,0.33349449,0.30157271,1.00000000
2025.37200000,0.33323459,0.30167886,1.00000000
2025.85400000,0.33286920,0.30178494,1.00000000
2026.33600000,0.33244554,0.30189093,1.00000000
2026.81900000,0.33206398,0.30199705,1.00000000
2027.30100000,0.33189005,0.30210286,1.00000000
2027.78300000,0.33148980,0.30220856,1.00000000
2028.26500000,0.33117675,0.30231416,1.00000000
2028.74700000,0.33101050,0.30241965,1.00000000
2029.22900000,0.33061349,0.30252502,1.00000000
2029.71100000,0.33024232,0.30263027,1.00000000
2030.19300000,0.32983199,0.30273540,1.00000000
2030.67600000,0.32967960,0.30284061,1.00000000
2031.15700000,0.32924565,0.30294524,1.00000000
2031.64000000,0.32904709,0.30305017,1.00000000
2032.12200000,0.32881078,0.30315473,1.00000000
2032.60400000,0.32826206,0.30325913,1.00000000
2033.08600000,0.32816763,0.30336338,1.00000000
2033.56800000,0.32794004,0.30346746,1.00000000
2034.05000000,0.32764446,0.30357138,1.00000000
2034.53200000,0.32740039,0.30367512,1.00000000
2035.01400000,0.32709924,0.30377867,1.00000000
2035.49700000,0.32672633,0.30388226,1.00000000
2035.97900000,0.32643964,0.30398544,1.00000000
2036.46100000,0.32618991,0.30408842,1.00000000
2036.94300000,0.32578124,0.30419120,1.00000000
2037.42500000,0.32548933,0.30429378,1.00000000
2037.90700000,0.32500199,0.30439614,1.00000000
2038.38900000,0.32476853,0.30449829,1.00000000
2038.87100000,0.32432930,0.30460021,1.00000000
2039.35400000,0.32401577,0.30470212,1.00000000
2039.83600000,0.32375796,0.30480358,1.00000000
2040.31800000,0.32357134,0.30490481,1.00000000
2040.80000000,0.32295272,0.30500579,1.00000000
2041.28200000,0.32258467,0.30510652,1.00000000
2041.76400000,0.32231435,0.30520700,1.00000000
2042.24600000,0.32187920,0.30530722,1.00000000
2042.72800000,0.32168094,0.30540718,1.00000000
2043.21000000,0.32128909,0.30550687,1.00000000
2043.69300000,0.32115382,0.30560649,1.00000000
2044.17500000,0.32071223,0.30570563,1.00000000
2044.65700000,0.32036565,0.30580448,1.00000000
2045.13900000,0.32009701,0.30590304,1.00000000
2045.62100000,0.31991675,0.30600131,1.00000000
2046.10300000,0.31950652,0.30609928,1.00000000
2046.58500000,0.31933666,0.30619695,1.00000000
2047.06700000,0.31883342,0.30629430,1.00000000
2047.55000000,0.31830769,0.30639155,1.00000000
2048.03200000,0.31819530,0.30648827,1.00000000
2048.51400000,0.31778267,0.30658467,1.00000000
2048.99600000,0.31758050,0.30668075,1.00000000
2049.47800000,0.31703224,0.30677648,1.00000000
2049.96000000,0.31681311,0.30687188,1.00000000
2050.44200000,0.31652331,0.30696694,1.00000000
2050.92400000,0.31616696,0.30706165,1.00000000
2051.40600000,0.31586295,0.30715601,1.00000000
2051.88900000,0.31548079,0.30725020,1.00000000
2052.37100000,0.31521320,0.30734383,1.00000000
2052.85300000,0.31506305,0.30743710,1.00000000
2053.33500000,0.31451113,0.30753000,1.00000000
2053.81700000,0.31445245,0.30762252,1.00000000
2054.29900000,0.31405673,0.30771465,1.00000000
2054.78100000,0.31354454,0.30780641,1.00000000
2055.26300000,0.31320276,0.30789777,1.00000000
2055.74600000,0.31302158,0.30798892,1.00000000
2056.22800000,0.31277692,0.30807948,1.00000000
2056.71000000,0.31252315,0.30816964,1.00000000
2057.19200000,0.31190870,0.30825940,1.00000000
2057.67400000,0.31194891,0.30834873,1.00000000
2058.15600000,0.31144202,0.30843765,1.00000000
2058.63800000,0.31124644,0.30852615,1.00000000
2059.12000000,0.31086189,0.30861422,1.00000000
2059.60300000,0.31060139,0.30870203,1.00000000
2060.08400000,0.31026220,0.30878905,1.00000000
2060.56700000,0.30991094,0.30887599,1.00000000
2061.04900000,0.30945565,0.30896231,1.00000000
2061.53100000,0.30932730,0.30904817,1.00000000
2062.01300000,0.30892628,0.30913358,1.00000000
2062.49500000,0.30879335,0.30921853,1.00000000
2062.97700000,0.30837411,0.30930302,1.00000000
2063.45900000,0.30813030,0.30938704,1.00000000
2063.94100000,0.30758442,0.30947060,1.00000000
2064.42400000,0.30726948,0.30955384,1.00000000
2064.90600000,0.30699032,0.30963644,1.00000000
2065.38800000,0.30652796,0.30971855,1.00000000
2065.87000000,0.30634799,0.30980018,1.00000000
2066.35200000,0.30582400,0.30988131,1.00000000
2066.83400000,0.30554875,0.30996195,1.00000000
2067.31600000,0.30501780,0.31004208,1.00000000
2067.79800000,0.30486435,0.31012171,1.00000000
2068.28100000,0.30443075,0.31020100,1.00000000
2068.76300000,0.30436746,0.31027961,1.00000000
2069.24500000,0.30387269,0.31035770,1.00000000
2069.72700000,0.30365774,0.31043528,1.00000000
2070.20900000,0.30342502,0.31051232,1.00000000
2070.69100000,0.30284826,0.31058884,1.00000000
2071.17300000,0.30256693,0.31066483,1.00000000
2071.65500000,0.30223244,0.31074029,1.00000000
2072.13700000,0.30205607,0.31081520,1.00000000
2072.62000000,0.30149868,0.31088972,1.00000000
2073.10200000,0.30122463,0.31096354,1.00000000
2073.58400000,0.30097739,0.31103681,1.00000000
2074.06600000,0.30051031,0.31110953,1.00000000
2074.54800000,0.30038355,0.31118168,1.00000000
2075.03000000,0.29995593,0.31125328,1.00000000
2075.51200000,0.29974656,0.31132431,1.00000000
2075.99400000,0.29938851,0.31139477,1.00000000
2076.47700000,0.29912275,0.31146480,1.00000000
2076.95900000,0.29872568,0.31153411,1.00000000
2077.44100000,0.29848152,0.31160284,1.00000000
2077.92300000,0.29820413,0.31167098,1.00000000
2078.40500000,0.29783495,0.31173854,1.00000000
2078.88700000,0.29764460,0.31180551,1.00000000
2079.36900000,0.29734874,0.31187188,1.00000000
2079.85100000,0.29729843,0.31193766,1.00000000
2080.33300000,0.29664809,0.31200284,1.00000000
2080.81600000,0.29638996,0.31206755,1.00000000
2081.29800000,0.29598246,0.31213151,1.00000000
2081.78000000,0.29574906,0.31219487,1.00000000
2082.26200000,0.29536571,0.31225761,1.00000000
2082.74400000,0.29521258,0.31231973,1.00000000
2083.22600000,0.29475127,0.31238124,1.00000000
2083.70800000,0.29437783,0.31244212,1.00000000
2084.19000000,0.29427623,0.31250238,1.00000000
2084.67300000,0.29401157,0.31256213,1.00000000
2085.15500000,0.29348913,0.31262112,1.00000000
2085.63700000,0.29327015,0.31267948,1.00000000
2086.11900000,0.29289053,0.31273720,1.00000000
2086.60100000,0.29247591,0.31279428,1.00000000
2087.08300000,0.29220701,0.31285072,1.00000000
2087.56500000,0.29193478,0.31290651,1.00000000
2088.04700000,0.29191043,0.31296165,1.00000000
2088.53000000,0.29138890,0.31301626,1.00000000
2089.01100000,0.29118396,0.31306998,1.00000000
2089.49400000,0.29074007,0.31312326,1.00000000
2089.97600000,0.29057157,0.31317578,1.00000000
2090.45800000,0.29013872,0.31322763,1.00000000
2090.94000000,0.28998681,0.31327882,1.00000000
2091.42200000,0.28988658,0.31332933,1.00000000
2091.90400000,0.28933248,0.31337918,1.00000000
2092.38600000,0.28902855,0.31342836,1.00000000
2092.86800000,0.28888272,0.31347686,1.00000000
2093.35100000,0.28858693,0.31352477,1.00000000
2093.83300000,0.28843752,0.31357191,1.00000000
2094.31500000,0.28804117,0.31361837,1.00000000
2094.79700000,0.28786087,0.31366414,1.00000000
2095.27900000,0.28758267,0.31370922,1.00000000
2095.76100000,0.28727201,0.31375362,1.00000000
2096.24300000,0.28693179,0.31379732,1.00000000
2096.72500000,0.28652807,0.31384032,1.00000000
2097.20800000,0.28638427,0.31388272,1.00000000
2097.69000000,0.28638082,0.31392433,1.00000000
2098.17200000,0.28582257,0.31396524,1.00000000
2098.65400000,0.28567054,0.31400545,1.00000000
2099.13600000,0.28541833,0.31404495,1.00000000
2099.61800000,0.28513042,0.31408375,1.00000000
2100.10000000,0.28484587,0.31412184,1.00000000
2100.58200000,0.28454994,0.31415921,1.00000000
2101.06400000,0.28440157,0.31419588,1.00000000
2101.54700000,0.28408326,0.31423190,1.00000000
2102.02900000,0.28402962,0.31426713,1.00000000
2102.51100000,0.28354572,0.31430165,1.00000000
2102.99300000,0.28344180,0.31433545,1.00000000
2103.47500000,0.28308371,0.31436852,1.00000000
2103.95700000,0.28300134,0.31440087,1.00000000
2104.43900000,0.28275745,0.31443250,1.00000000
2104.92100000,0.28247985,0.31446340,1.00000000
2105.40400000,0.28234608,0.31449363,1.00000000
2105.88600000,0.28214805,0.31452308,1.00000000
2106.36800000,0.28191915,0.31455179,1.00000000
2106.85000000,0.28136933,0.31457977,1.00000000
2107.33200000,0.28128829,0.31460702,1.00000000
2107.81400000,0.28127917,0.31463353,1.00000000
2108.29600000,0.28100418,0.31465931,1.00000000
2108.77800000,0.28056464,0.31468435,1.00000000
2109.26000000,0.28040144,0.31470865,1.00000000
2109.74300000,0.28013123,0.31473225,1.00000000
2110.22500000,0.27981751,0.31475507,1.00000000
2110.70700000,0.27964373,0.31477715,1.00000000
2111.18900000,0.27957476,0.31479848,1.00000000
2111.67100000,0.27938904,0.31481907,1.00000000
2112.15300000,0.27912527,0.31483892,1.00000000
2112.63500000,0.27874286,0.31485801,1.00000000
2113.11700000,0.27870704,0.31487636,1.00000000
2113.60000000,0.27852773,0.31489400,1.00000000
2114.08200000,0.27832052,0.31491085,1.00000000
2114.56400000,0.27818514,0.31492696,1.00000000
2115.04600000,0.27792789,0.31494231,1.00000000
2115.52800000,0.27782374,0.31495691,1.00000000
2116.01000000,0.27743939,0.31497076,1.00000000
2116.49200000,0.27742532,0.31498386,1.00000000
2116.97400000,0.27729804,0.31499620,1.00000000
2117.45700000,0.27701976,0.31500781,1.00000000
2117.93800000,0.27675339,0.31501862,1.00000000
2118.42100000,0.27648485,0.31502873,1.00000000
2118.90300000,0.27642030,0.31503805,1.00000000
2119.38500000,0.27633761,0.31504662,1.00000000
2119.86700000,0.27617780,0.31505443,1.00000000
2120.34900000,0.27588854,0.31506148,1.00000000
2120.83100000,0.27572672,0.31506778,1.00000000
2121.31300000,0.27554549,0.31507332,1.00000000
2121.79500000,0.27535413,0.31507811,1.00000000
2122.27800000,0.27504554,0.31508214,1.00000000
2122.76000000,0.27498339,0.31508541,1.00000000
